State;City;Population;;;;
California;Hawthorne;87 583;;;;
California;South El Dorado;87 572;;;;
Arkansas;Fort Smith;87 351;;;;
California;Whittier;87 318;;;;
California;Newport Beach;87 266;;;;
New Hampshire;Nashua;87 259;;;;
Florida;Deltona;86 890;;;;
California;Livermore;86 870;;;;
Virginia;Suffolk;86 806;;;;
Florida;Lehigh Acres;86 784;;;;
Texas;Sugar Land;86 777;;;;
Indiana;Carmel;86 682;;;;
Texas;East Grayson;86 658;;;;
Maryland;Germantown;86 395;;;;
Indiana;Fishers;86 325;;;;
Minnesota;Bloomington;86 314;;;;
Minnesota;Duluth;86 238;;;;
California;Citrus Heights;86 145;;;;
New Jersey;Clifton;85 927;;;;
California;Tracy;85 841;;;;
Washington;Kirkland;85 763;;;;
California;Indio;85 633;;;;
California;Alhambra;85 569;;;;
North Carolina;Concord;85 560;;;;
California;Menifee;85 182;;;;
Georgia;Athens;85 116;;;;
California;Chino;84 723;;;;
Illinois;Champaign;84 513;;;;
Illinois;Cicero;84 354;;;;
Alabama;Hoover;84 353;;;;
Utah;Ogden;84 316;;;;
New York;Clarkstown;84 187;;;;
Oregon;Bend;84 080;;;;
New Jersey;Trenton;84 034;;;;
Missouri;O'Fallon;84 009;;;;
Connecticut;Danbury;83 784;;;;
Washington;Bellingham;83 365;;;;
Indiana;Bloomington;83 322;;;;
Michigan;Troy;83 107;;;;
California;Buena Park;83 105;;;;
Georgia;Johns Creek;83 102;;;;
California;Hemet;83 032;;;;
Texas;Edinburg;83 014;;;;
California;Redwood City;82 881;;;;
Delaware;Brandywine;82 672;;;;
Florida;Royal Palm Beach-West Jupiter;82 604;;;;
Iowa;Sioux City;82 517;;;;
Texas;Mission;82 431;;;;
California;East Kern;82 330;;;;
Michigan;Westland;82 314;;;;
Rhode Island;Warwick;81 963;;;;
California;Merced;81 743;;;;
California;Lakewood;81 653;;;;
Texas;Longview;81 593;;;;
Michigan;Farmington Hills;81 435;;;;
Arizona;Coconino;81 338;;;;
Arizona;San Tan Valley;81 321;;;;
Rhode Island;Cranston;81 037;;;;
Texas;Bryan;80 913;;;;
Arkansas;Fayetteville;80 621;;;;
California;Tustin;80 621;;;;
Florida;Palm Coast;80 600;;;;
California;Lake Forest;80 148;;;;
Ohio;Parma;80 015;;;;
California;Napa;80 011;;;;
Arizona;Avondale;79 646;;;;
New York;New Rochelle;79 637;;;;
California;Mountain View;79 378;;;;
Virginia;Lynchburg;79 047;;;;
Florida;Largo;79 019;;;;
Massachusetts;Somerville;78 901;;;;
Florida;Deerfield Beach;78 881;;;;
Illinois;Bloomington;78 730;;;;
Minnesota;Brooklyn Park;78 728;;;;
Oregon;Medford;78 557;;;;
Utah;St. George;78 505;;;;
Florida;Melbourne;78 490;;;;
Florida;Town 'n' Country;78 442;;;;
Indiana;Hammond;78 384;;;;
California;Bellflower;78 236;;;;
California;East Contra Costa;78 216;;;;
Massachusetts;Lawrence;78 197;;;;
Florida;Alafaya;78 113;;;;
Wisconsin;Racine;78 065;;;;
Indiana;Gary;77 909;;;;
South Carolina;Mount Pleasant;77 796;;;;
California;Pleasanton;77 682;;;;
California;Alameda;77 660;;;;
Washington;Kennewick;77 421;;;;
New Jersey;Camden;77 332;;;;
California;Baldwin Park;77 119;;;;
California;Chino Hills;77 005;;;;
Missouri;St. Joseph;76 967;;;;
Arkansas;Springdale;76 565;;;;
Washington;Auburn;76 347;;;;
Texas;Baytown;76 127;;;;
California;Upland;76 043;;;;
Illinois;Arlington Heights;76 024;;;;
Michigan;Kalamazoo;75 922;;;;
Georgia;Albany;75 769;;;;
Arizona;Goodyear;75 664;;;;
Illinois;Evanston;75 658;;;;
Texas;Pharr;75 382;;;;
Florida;Kendall;75 371;;;;
California;Folsom;75 361;;;;
California;San Ramon;75 332;;;;
Pennsylvania;Scranton;75 281;;;;
New York;Cheektowaga;75 178;;;;
Pennsylvania;Bethlehem;75 135;;;;
Minnesota;Plymouth;75 057;;;;
Illinois;Schaumburg;74 896;;;;
Louisiana;Lake Charles;74 889;;;;
Michigan;Wyoming;74 826;;;;
Illinois;Bolingbrook;74 180;;;;
Illinois;Decatur;74 010;;;;
Wisconsin;Appleton;73 971;;;;
California;Perris;73 756;;;;
North Carolina;Gastonia;73 698;;;;
California;Milpitas;73 672;;;;
California;Union City;73 621;;;;
California;Manteca;73 494;;;;
Michigan;Canton;73 490;;;;
Michigan;Waterford;73 473;;;;
Iowa;Iowa City;73 415;;;;
Georgia;Warner Robins;73 271;;;;
Michigan;Rochester Hills;73 125;;;;
Florida;Boynton Beach;73 124;;;;
Michigan;Southfield;73 002;;;;
Connecticut;New Britain;72 878;;;;
Oklahoma;East Canadian;72 697;;;;
Colorado;Loveland;72 651;;;;
South Dakota;Rapid City;72 638;;;;
Ohio;Canton;72 297;;;;
Utah;Layton;72 231;;;;
Arkansas;Jonesboro;72 210;;;;
Texas;Brazosport;71 908;;;;
California;Lynwood;71 839;;;;
Delaware;Wilmington;71 817;;;;
Mississippi;Gulfport;71 750;;;;
Texas;Missouri City;71 710;;;;
California;Apple Valley;71 595;;;;
New Jersey;Passaic;71 509;;;;
Rhode Island;Pawtucket;71 499;;;;
Wisconsin;Waukesha;71 489;;;;
Maryland;Silver Spring;71 452;;;;
California;Turlock;71 245;;;;
Virginia;Centreville;71 135;;;;
Florida;Riverview;71 050;;;;
Florida;Fort Myers;70 918;;;;
Texas;Temple;70 765;;;;
Indiana;Lafayette;70 654;;;;
Florida;Lauderhill;70 626;;;;
California;Redlands;70 622;;;;
Tennessee;Franklin;70 612;;;;
California;San Gorgonio Pass;70 591;;;;
Delaware;Greater Newark;70 573;;;;
New Mexico;Santa Fe;70 297;;;;
Indiana;Muncie;70 211;;;;
Florida;Central Pasco;69 995;;;;
South Carolina;Rock Hill;69 967;;;;
Montana;Missoula;69 821;;;;
California;Rancho Cordova;69 740;;;;
Texas;Flower Mound;69 650;;;;
Illinois;Palatine;69 387;;;;
Florida;Weston;69 100;;;;
North Carolina;Jacksonville;69 047;;;;
North Dakota;Bismarck;68 896;;;;
Florida;Boca Ciega;68 887;;;;
Arizona;Flagstaff;68 785;;;;
New Jersey;Union City;68 668;;;;
Washington;Pasco;68 648;;;;
Texas;North Richland Hills;68 529;;;;
New York;Mount Vernon;68 458;;;;
Alabama;Dothan;68 409;;;;
Maryland;Frederick;68 400;;;;
Iowa;Waterloo;68 364;;;;
Massachusetts;Framingham;68 318;;;;
Michigan;Shelby;68 294;;;;
California;Redondo Beach;68 149;;;;
California;Pittsburg;68 140;;;;
Missouri;St. Charles;68 090;;;;
Florida;Gulf Breeze-Harold;67 908;;;;
California;Yorba Linda;67 826;;;;
Maryland;Waldorf;67 752;;;;
Wisconsin;Eau Claire;67 684;;;;
California;Walnut Creek;67 673;;;;
Maryland;Glen Burnie;67 639;;;;
Louisiana;Bossier City;67 472;;;;
Tennessee;Jackson;67 319;;;;
Louisiana;Kenner;67 064;;;;
California;South San Francisco;67 009;;;;
California;Palo Alto;66 955;;;;
Minnesota;Maple Grove;66 945;;;;
California;Camarillo;66 923;;;;
Maryland;Gaithersburg;66 816;;;;
Arkansas;North Little Rock;66 810;;;;
Minnesota;Woodbury;66 807;;;;
Arizona;Casas Adobes;66 795;;;;
California;Davis;66 742;;;;
Florida;Kissimmee;66 722;;;;
Maine;Portland;66 666;;;;
Wisconsin;Oshkosh;66 621;;;;
South Carolina;Dutch Fork;66 450;;;;
Texas;New Braunfels;66 394;;;;
Minnesota;St. Cloud;66 389;;;;
Texas;Victoria;66 094;;;;
Minnesota;Eagan;66 084;;;;
New Jersey;Bayonne;65 975;;;;
Virginia;Dale City;65 969;;;;
Maryland;Rockville;65 937;;;;
New York;Schenectady;65 936;;;;
Texas;Harlingen;65 914;;;;
Texas;Conroe;65 871;;;;
Texas;Atascocita;65 844;;;;
Maryland;Ellicott City;65 834;;;;
Tennessee;Johnson City;65 813;;;;
California;Yuba City;65 773;;;;
Florida;Homestead;65 524;;;;
California;Laguna Niguel;65 448;;;;
California;San Clemente;65 326;;;;
Michigan;West Bloomfield Township;65 149;;;;
Illinois;Skokie;65 112;;;;
Washington;Marysville;65 087;;;;
New Jersey;East Orange;65 078;;;;
Ohio;Youngstown;65 062;;;;
Florida;Delray Beach;65 055;;;;
Nevada;Clark;65 029;;;;
Kansas;Shawnee;64 599;;;;
Florida;Carol City;64 569;;;;
Arkansas;Conway;64 490;;;;
California;Pico Rivera;64 235;;;;
Wisconsin;Janesville;64 009;;;;
California;Lodi;63 950;;;;
California;Montebello;63 929;;;;
Florida;Tamarac;63 793;;;;
Ohio;Lorain;63 776;;;;
California;Madera;63 605;;;;
Maryland;Dundalk;63 597;;;;
Texas;Cedar Park;63 574;;;;
California;Florence-Graham;63 387;;;;
California;Santa Cruz;63 364;;;;
Iowa;West Des Moines;63 325;;;;
Connecticut;West Hartford;63 268;;;;
Iowa;Ames;63 266;;;;
Minnesota;Eden Prairie;63 228;;;;
Georgia;Alpharetta;63 038;;;;
Massachusetts;Waltham;63 014;;;;
Florida;Daytona Beach;63 011;;;;
Wyoming;Cheyenne;62 845;;;;
Utah;South Jordan;62 781;;;;
Washington;Graham-Thrift;62 639;;;;
Massachusetts;Haverhill;62 488;;;;
Ohio;Hamilton;62 486;;;;
Kentucky;Bowling Green;62 479;;;;
California;Encinitas;62 254;;;;
South Carolina;Greenville;62 252;;;;
Texas;Mansfield;62 246;;;;
Iowa;Council Bluffs;62 245;;;;
Utah;Millcreek;62 139;;;;
Colorado;Broomfield;62 138;;;;
Minnesota;Coon Rapids;62 112;;;;
California;La Habra;62 066;;;;
Oregon;Somerset West-Rock Creek;62 062;;;;
Maryland;Wheaton-Glenmont;61 910;;;;
California;Tulare;61 867;;;;
California;Carmichael;61 762;;;;
Minnesota;Burnsville;61 630;;;;
Michigan;Taylor;61 594;;;;
Florida;Wellington;61 485;;;;
Arkansas;Rogers;61 464;;;;
California;Monterey Park;61 458;;;;
Florida;North Miami;61 420;;;;
California;Castro Valley;61 388;;;;
New York;Utica;61 332;;;;
Minnesota;Blaine;61 190;;;;
Connecticut;Greenwich;61 171;;;;
New Jersey;Vineland;61 171;;;;
Connecticut;Hamden;60 960;;;;
Indiana;Terre Haute;60 956;;;;
Massachusetts;Malden;60 859;;;;
Maryland;Bethesda;60 858;;;;
Florida;Jupiter;60 681;;;;
California;Cupertino;60 668;;;;
New York;Brentwood;60 664;;;;
Wisconsin;West Allis;60 624;;;;
Connecticut;Bristol;60 570;;;;
Utah;Taylorsville;60 433;;;;
California;Gardena;60 395;;;;
Florida;North Port;60 380;;;;
California;Rocklin;60 344;;;;
California;National City;60 343;;;;
Connecticut;Meriden;60 293;;;;
Oregon;Springfield;60 263;;;;
Alabama;Auburn;60 258;;;;
Alabama;Tanner-Williams;60 211;;;;
Colorado;Grand Junction;60 210;;;;
Wyoming;Casper;60 086;;;;
Florida;Pine Hills;60 076;;;;
Michigan;St. Clair Shores;60 036;;;;
California;Lake Elsinore;60 029;;;;
Georgia;Marietta;60 014;;;;
Ohio;Springfield;59 956;;;;
California;Petaluma;59 953;;;;
Minnesota;Lakeville;59 866;;;;
Michigan;Pontiac;59 808;;;;
Florida;Fountainbleau;59 764;;;;
Washington;Lakewood;59 610;;;;
Arizona;Buckeye;59 470;;;;
Connecticut;Fairfield;59 404;;;;
North Carolina;Chapel Hill;59 376;;;;
California;Huntington Park;59 362;;;;
Georgia;West Dougherty;59 317;;;;
Pennsylvania;Lancaster;59 302;;;;
California;Ross Valley;59 297;;;;
Washington;Redmond;59 285;;;;
Arizona;Arivaca;59 243;;;;
California;San Rafael;59 237;;;;
Oklahoma;Moore;59 196;;;;
California;La Mesa;59 177;;;;
Montana;Great Falls;59 152;;;;
Texas;Georgetown;59 102;;;;
Michigan;Royal Oak;59 069;;;;
